iter	Passed	Remaining
459	811	952
460	812	950
461	814	947
462	815	945
463	816	943
464	818	941
465	819	939
466	820	937
467	822	935
468	824	933
469	826	931
470	827	929
471	828	927
472	830	925
473	831	923
474	833	920
475	834	918
476	835	916
477	837	914
478	838	912
479	840	910
480	842	908
481	843	906
482	845	904
483	846	902
484	848	900
485	849	898
486	851	896
487	853	895
488	855	894
489	857	892
490	858	890
491	860	888
492	861	886
493	863	884
494	864	882
495	866	880
496	867	878
497	869	876
498	871	874
499	872	872
500	874	870
501	875	868
502	877	866
503	878	864
504	879	862
505	880	860
506	882	858
507	884	856
508	886	854
509	887	852
510	889	850
511	890	848
512	892	846
513	893	844
514	895	842
515	896	840
516	898	839
517	900	837
518	901	835
519	903	833
520	904	831
521	906	830
522	908	828
523	909	826
524	911	824
525	913	823
526	915	821
527	916	819
528	917	817
529	919	815
530	920	813
531	922	811
532	923	809
533	924	807
534	926	805
535	928	803
536	930	802
537	931	799
538	932	797
539	934	795
540	935	793
541	937	791
542	938	789
543	940	788
544	941	786
545	943	784
546	945	782
547	946	780
548	947	778
549	949	776
550	950	774
551	952	772
552	953	770
553	955	769
554	957	767
555	959	766
556	960	764
557	962	762
558	964	760
559	965	758
560	967	756
561	968	754
562	970	753
563	972	751
564	974	750
565	976	748
566	977	746
567	978	744
568	980	742
569	982	740
570	984	739
571	986	738
572	988	736
573	990	734
574	991	732
575	993	730
576	994	729
577	995	727
578	997	725
579	999	724
580	1002	723
581	1004	721
582	1006	719
583	1009	719
584	1011	717
585	1012	715
586	1014	714
587	1017	712
588	1019	711
589	1021	709
590	1023	708
591	1024	706
592	1026	704
593	1027	702
594	1029	700
595	1032	699
596	1035	698
597	1036	696
598	1038	694
599	1039	693
600	1041	691
601	1042	689
602	1044	687
603	1046	686
604	1048	684
605	1050	683
606	1052	681
607	1054	679
608	1055	677
609	1056	675
610	1059	674
611	1062	673
612	1065	672
613	1067	670
614	1068	668
615	1070	667
616	1071	665
617	1072	663
618	1074	661
619	1077	660
620	1080	659
621	1081	657
622	1083	655
623	1084	653
624	1085	651
625	1087	649
626	1089	647
627	1090	646
628	1093	644
629	1095	643
630	1097	641
631	1098	639
632	1099	637
633	1101	635
634	1102	633
635	1105	632
636	1108	631
637	1110	629
638	1111	628
639	1112	626
640	1114	624
641	1115	622
642	1117	620
643	1119	618
644	1121	617
645	1124	616
646	1126	614
647	1127	612
648	1129	610
649	1130	608
650	1132	607
651	1134	605
652	1137	604
653	1139	602
654	1141	601
655	1142	599
656	1144	597
657	1145	595
658	1147	593
659	1149	592
660	1152	590
661	1154	589
662	1155	587
663	1157	585
664	1158	583
665	1160	581
666	1161	579
667	1163	578
668	1165	576
669	1168	575
670	1169	573
671	1171	571
672	1173	570
673	1175	568
674	1176	566
675	1179	565
676	1181	563
677	1183	561
678	1185	560
679	1186	558
680	1188	556
681	1190	554
682	1192	553
683	1194	551
684	1195	549
685	1197	548
686	1200	546
687	1202	545
688	1203	543
689	1205	541
690	1207	539
691	1210	538
692	1211	536
693	1213	535
694	1214	533
695	1216	531
696	1218	529
697	1219	527
698	1221	526
699	1223	524
700	1224	522
701	1226	520
702	1227	518
703	1229	516
704	1231	515
705	1233	513
706	1234	511
707	1236	510
708	1239	508
709	1241	507
710	1242	505
711	1244	503
712	1245	501
713	1246	499
714	1249	497
715	1251	496
716	1254	495
717	1255	493
718	1258	491
719	1259	489
720	1261	488
721	1263	486
722	1264	484
723	1266	482
724	1267	480
725	1269	478
726	1270	477
727	1272	475
728	1273	473
729	1276	472
730	1278	470
731	1279	468
732	1281	466
733	1282	464
734	1284	463
735	1285	461
736	1287	459
737	1288	457
738	1290	455
739	1291	453
740	1293	452
741	1294	450
742	1296	448
743	1298	446
744	1300	445
745	1302	443
746	1303	441
747	1305	439
748	1306	437
749	1307	435
750	1309	434
751	1311	432
752	1313	430
753	1316	429
754	1317	427
755	1319	425
756	1321	424
757	1322	422
758	1324	420
759	1326	418
760	1328	417
761	1330	415
762	1332	413
763	1334	412
764	1335	410
765	1337	408
766	1338	406
767	1340	405
768	1342	403
769	1344	401
770	1346	399
771	1347	398
772	1349	396
773	1351	394
774	1352	392
775	1353	390
776	1356	389
777	1358	387
778	1360	385
779	1361	384
780	1363	382
781	1364	380
782	1366	378
783	1367	376
784	1369	375
785	1373	373
786	1374	372
787	1376	370
788	1378	368
789	1379	366
790	1380	364
791	1382	363
792	1383	361
793	1386	359
794	1388	357
795	1390	356
796	1391	354
797	1393	352
798	1394	350
799	1396	349
800	1397	347
801	1400	345
802	1402	344
803	1404	342
804	1405	340
805	1406	338
806	1408	336
807	1410	335
808	1411	333
809	1412	331
810	1415	329
811	1418	328
812	1419	326
813	1421	324
814	1422	322
815	1424	321
816	1425	319
817	1427	317
818	1428	315
819	1430	313
820	1432	312
821	1433	310
822	1435	308
823	1436	306
824	1437	305
825	1439	303
826	1440	301
827	1441	299
828	1443	297
829	1445	296
830	1446	294
831	1448	292
832	1449	290
833	1450	288
834	1452	286
835	1453	285
836	1454	283
837	1456	281
838	1457	279
839	1459	278
840	1461	276
841	1463	274
842	1464	272
843	1466	270
844	1467	269
845	1469	267
846	1470	265
847	1471	263
848	1473	262
849	1475	260
850	1477	258
851	1479	256
852	1480	255
853	1482	253
854	1483	251
855	1485	249
856	1486	248
857	1488	246
858	1490	244
859	1491	242
860	1493	241
861	1494	239
862	1496	237
863	1497	235
864	1498	233
865	1500	232
866	1501	230
867	1503	228
868	1505	226
869	1507	225
870	1508	223
871	1510	221
872	1511	219
873	1513	218
874	1515	216
875	1516	214
876	1518	212
877	1520	211
878	1522	209
879	1523	207
880	1525	206
881	1527	204
882	1528	202
883	1530	200
884	1531	199
885	1533	197
886	1535	195
887	1537	193
888	1538	192
889	1539	190
890	1541	188
891	1543	186
892	1544	185
893	1546	183
894	1547	181
895	1549	179
896	1551	178
897	1553	176
898	1554	174
899	1555	172
900	1557	171
901	1558	169
902	1560	167
903	1561	165
904	1563	164
905	1565	162
906	1567	160
907	1568	158
908	1570	157
909	1571	155
910	1573	153
911	1574	151
912	1576	150
913	1578	148
